Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63656c7103cc65e42841aec2,5750a40d6c3d370007d1a373,APPROVED,2022-11-04T19:48:04.737000Z,2022-11-04T19:52:18.944000Z,2022-11-08T20:00:37.602000,2022-11-04T19:52:19.307145Z,255,C4DAS9DL,2407,47,Female,White,United States,United States,United States,English,Yes,Full-Time
63656c7358dbbe50aead3d49,5f828002935db93a4d29d577,APPROVED,2022-11-04T19:48:05.530000Z,2022-11-04T19:49:12.301000Z,2022-11-08T20:00:53.412000,2022-11-04T19:49:12.810681Z,67,C4DAS9DL,2343,23,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63656c73c220fb9281630937,5f93a74574ea7c18489df9a5,APPROVED,2022-11-04T19:48:09.856000Z,2022-11-04T19:50:01.539000Z,2022-11-08T20:00:53.508000,2022-11-04T19:50:02.870838Z,112,C4DAS9DL,37,38,Male,White,United States,United States,United States,English,No,Full-Time
63656c747ba7cdde02c335e0,60c433a4f78e97b5ef1ce71b,APPROVED,2022-11-04T19:48:10.628000Z,2022-11-04T19:50:50.124000Z,2022-11-08T20:00:37.751000,2022-11-04T19:50:50.465755Z,160,C4DAS9DL,319,46,Female,Mixed,United States,United States,United States,English,No,DATA_EXPIRED
63656c78a4289dcd50ee2b53,5f68c976410f260322dc1747,APPROVED,2022-11-04T19:48:11.126000Z,2022-11-04T19:49:38.401000Z,2022-11-08T20:00:53.607000,2022-11-04T19:49:38.812311Z,88,C4DAS9DL,2048,30,Male,White,United States,United States,United States,English,No,Full-Time
63656c79326b5adda70dc596,5dbb9407e0a6e81863526af7,APPROVED,2022-11-04T19:48:13.827000Z,2022-11-04T19:54:01.347000Z,2022-11-08T20:00:53.702000,2022-11-04T19:54:03.083835Z,348,C4DAS9DL,1698,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63656c7c1a49a6d6cbcbc7e7,61535bd45997429e396cd1ac,APPROVED,2022-11-04T19:48:15.599000Z,2022-11-04T19:49:45.415000Z,2022-11-08T20:00:37.916000,2022-11-04T19:49:45.849228Z,90,C4DAS9DL,706,33,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63656c7fbf448820cd936bd0,60bdc9ece9fc9b87f5c009b7,APPROVED,2022-11-04T19:48:20.307000Z,2022-11-04T19:50:58.339000Z,2022-11-08T20:00:53.794000,2022-11-04T19:50:58.694385Z,159,C4DAS9DL,1675,31,Male,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63656c8d5931b412ee0566c4,5af309960eca060001b15b47,APPROVED,2022-11-04T19:53:24.398000Z,2022-11-04T19:55:10.708000Z,2022-11-08T20:00:53.886000,2022-11-04T19:55:11.119515Z,107,C4DAS9DL,681,25,Male,White,United States,United States,United States,English,No,Full-Time
63656c8e5722479ccb538877,55fb068b77f33b0005cb1efc,APPROVED,2022-11-04T19:48:34.340000Z,2022-11-04T19:50:20.802000Z,2022-11-08T20:00:38.054000,2022-11-04T19:50:21.262611Z,107,C4DAS9DL,2553,31,Female,Mixed,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
